00002599.jpg,8,8,7,Deleted,Deleted,Technology/Research
gsun_0b0688ec2ba0e6572c4bbf08aa16355d.jpg,1,5,5,Brick,Steel,Retail or Professional Services
gsun_0a6b1bb50fa5658551cfaf9fd2c7a6dd.jpg,8,8,8,Deleted,Deleted,Entertainment & Recreation
gsun_0b156d3483e3bd563dccab762306030f.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
sun_aeuuurwrpnxmlegj.jpg,4,3,5,Concrete,Glass,Retail or Professional Services
00001269.jpg,4,2,1,Concrete,Wood/Siding,Single Family Dwelling
00001097.jpg,1,3,15,Brick,Glass,Nursing Home
gsun_1a4d444a02f531ec66cb06ceef6532f5.jpg,5,4,20,Steel,Concrete,Lodging
sun_avhiwnjlhkkbidwf.jpg,4,2,19,Concrete,Wood/Siding,Agriculture
gsun_0ca3c40dd811e82de8fcab68ceb6adc8.jpg,4,2,10,Concrete,Wood/Siding,Grade Schools
00000178.jpg,2,7,19,Wood/Siding,None,Agriculture
gsun_a6a36999e99626c4e79fb29eaf3b83ab.jpg,4,7,5,Concrete,None,Retail or Professional Services
sun_anjjvqfscbfxhhgw.jpg,2,7,8,Wood/Siding,None,Entertainment & Recreation
00003940.jpg,4,3,20,Concrete,Glass,Lodging
00000543.jpg,4,3,5,Concrete,Glass,Retail or Professional Services
gsun_000e7aa8256a37e41f0982b0fa089419.jpg,2,7,10,Wood/Siding,None,Grade Schools
00004607.jpg,1,2,1,Brick,Wood/Siding,Single Family Dwelling
00000609.jpg,5,7,16,Steel,None,Mobile Home
00003652.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_0b8f460f6dea9ed768758b9c0649f6e4.jpg,4,2,10,Concrete,Wood/Siding,Grade Schools
00003352.jpg,4,2,21,Concrete,Wood/Siding,Church/Non-Profit
00004900.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_0ea59d23a873298a08036a317cd2be60.jpg,2,7,10,Wood/Siding,None,Grade Schools
00004691.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_dad7a42a63a7a04297ae8a0f14f567d8.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
gsun_0cd32df3eeb3449a47a5fd10c2ece636.jpg,1,2,2,Brick,Wood/Siding,Small Multi Family Dwelling - 2-4 Units
sun_avxtlbvdlttjzlex.jpg,4,2,8,Concrete,Wood/Siding,Entertainment & Recreation
00002941.jpg,4,7,21,Concrete,None,Church/Non-Profit
00003309.jpg,2,7,19,Wood/Siding,None,Agriculture
00003371.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
00004415.jpg,1,2,5,Brick,Wood/Siding,Retail or Professional Services
gsun_0bed4e10901f290b5e79ccf17932183f.jpg,4,5,22,Concrete,Steel,Construction
00002327.jpg,4,7,4,Concrete,None,Large Multi Family Dwelling - >50 Units
sun_attlaclfqetjkdsv.jpg,4,3,5,Concrete,Glass,Retail or Professional Services
gsun_1778560558c3fd0dd6c8c77caf8b0414.jpg,4,2,22,Concrete,Wood/Siding,Construction
sun_armrnpoxoizczomh.jpg,1,4,5,Brick,Concrete,Retail or Professional Services
gsun_0da6ac9ee45a4f56842d6ad51eb7a1e7.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
gsun_0b5390a15443d08d8b98fb4d789734e2.jpg,1,2,1,Brick,Wood/Siding,Single Family Dwelling
gsun_0d1adbc0c082aa193ae82ad33f18fcf5.jpg,8,8,8,Deleted,Deleted,Entertainment & Recreation
gsun_0d3c67a4d698b4d18d4e1136b058df57.jpg,4,2,1,Concrete,Wood/Siding,Single Family Dwelling
00000924.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_1d2c26adfdae3b700cc578a5ddd01c35.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
00001442.jpg,4,1,21,Concrete,Brick,Church/Non-Profit
gsun_0b44bf6529638bd37508ac32f6bd3d73.jpg,8,8,5,Deleted,Deleted,Retail or Professional Services
sun_apizkxqoymdocozf.jpg,4,7,5,Concrete,None,Retail or Professional Services
sun_asolcsedsikuwcge.jpg,2,7,20,Wood/Siding,None,Lodging
gsun_1a25a94399546a4242c9363000d78e83.jpg,1,2,1,Brick,Wood/Siding,Single Family Dwelling
00000736.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_0be869f8c4bff32f5bf97b8c11bdcbf6.jpg,4,3,5,Concrete,Glass,Retail or Professional Services
00002569.jpg,8,8,7,Deleted,Deleted,Technology/Research
00004173.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
00003435.jpg,1,2,1,Brick,Wood/Siding,Single Family Dwelling
gsun_0cd0cb434fbf43010edacba5f4bb2a21.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
00002990.jpg,4,2,21,Concrete,Wood/Siding,Church/Non-Profit
gsun_79298677de10952350de5662ddc63e01.jpg,4,7,5,Concrete,None,Retail or Professional Services
00003784.jpg,4,2,8,Concrete,Wood/Siding,Entertainment & Recreation
gsun_0f3b222edc7bcf9cc354a97f43d52d3e.jpg,1,2,2,Brick,Wood/Siding,Small Multi Family Dwelling - 2-4 Units
00003712.jpg,4,5,22,Concrete,Steel,Construction
00001268.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_a2030c46d3fe36f1b9ae02ad7de6770a.jpg,4,7,5,Concrete,None,Retail or Professional Services
sun_aqzfmwpceomlrlwm.jpg,5,4,5,Steel,Concrete,Retail or Professional Services
sun_abmlchngbzrrapkw.jpg,4,7,3,Concrete,None,Medium Multi Family Dwelling - 5-50 Units
00000049.jpg,4,2,19,Concrete,Wood/Siding,Agriculture
gsun_0bea17e6d99b4c562c9486399e85bc1e.jpg,4,7,8,Concrete,None,Entertainment & Recreation
00002844.jpg,4,7,3,Concrete,None,Medium Multi Family Dwelling - 5-50 Units
00004326.jpg,8,8,7,Deleted,Deleted,Technology/Research
gsun_0da35eb2840227bf2ceb6c8535e7c87d.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
00002050.jpg,2,7,5,Wood/Siding,None,Retail or Professional Services
00003785.jpg,2,7,5,Wood/Siding,None,Retail or Professional Services
gsun_0dcc6a0a0e0a45e8fc815dd3aea22fc7.jpg,4,2,1,Concrete,Wood/Siding,Single Family Dwelling
00002147.jpg,4,2,1,Concrete,Wood/Siding,Single Family Dwelling
gsun_0b6186e079f58678b55d7704a324b578.jpg,8,8,19,Deleted,Deleted,Agriculture
00004412.jpg,1,2,5,Brick,Wood/Siding,Retail or Professional Services
00003123.jpg,6,2,1,Stone,Wood/Siding,Single Family Dwelling
gsun_0a34d7220106b5025f9c701f0c640a34.jpg,2,4,7,Wood/Siding,Concrete,Technology/Research
gsun_01ad142dd488d6b1511ed16f04164628.jpg,2,7,5,Wood/Siding,None,Retail or Professional Services
00002510.jpg,4,2,8,Concrete,Wood/Siding,Entertainment & Recreation
00004578.jpg,2,7,8,Wood/Siding,None,Entertainment & Recreation
00003347.jpg,8,8,19,Deleted,Deleted,Agriculture
00002873.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
00001418.jpg,4,7,8,Concrete,None,Entertainment & Recreation
00001000.jpg,2,7,5,Wood/Siding,None,Retail or Professional Services
00001652.jpg,4,1,7,Concrete,Brick,Technology/Research
gsun_0d17b1815665a99020f9a0987f407507.jpg,4,2,20,Concrete,Wood/Siding,Lodging
00001360.jpg,2,7,1,Wood/Siding,None,Single Family Dwelling
gsun_00fecbb7f22a74ea756ff78a4b3453ce.jpg,8,8,20,Deleted,Deleted,Lodging
00002902.jpg,8,8,8,Deleted,Deleted,Entertainment & Recreation
gsun_0d34c8194cd4b6bf36f4735b63b64b0e.jpg,1,2,1,Brick,Wood/Siding,Single Family Dwelling
gsun_0ade024d8db1832195e538e59904c6cc.jpg,4,2,20,Concrete,Wood/Siding,Lodging
00004261.jpg,4,2,7,Concrete,Wood/Siding,Technology/Research
gsun_0af2c1335df365f2fd16f63f45152d5f.jpg,4,1,8,Concrete,Brick,Entertainment & Recreation
00002950.jpg,2,7,20,Wood/Siding,None,Lodging
00004223.jpg,4,7,12,Concrete,None,Emergency Response
00000408.jpg,5,2,7,Steel,Wood/Siding,Technology/Research
gsun_06883072e1498c4670ccf8c5cfb0198e.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
gsun_10110708a92fdf81c5a02d5a71a4280e.jpg,4,2,3,Concrete,Wood/Siding,Medium Multi Family Dwelling - 5-50 Units
gsun_a681d7b1eb85618783fe1a37e3396847.jpg,4,7,3,Concrete,None,Medium Multi Family Dwelling - 5-50 Units
00000073.jpg,4,2,20,Concrete,Wood/Siding,Lodging
gsun_d168ed17db2a2a097b4c3b118eba105b.jpg,4,1,5,Concrete,Brick,Retail or Professional Services
sun_aejktkrdtjvdxhpz.jpg,5,3,5,Steel,Glass,Retail or Professional Services
